"id";"zeit";"insgesamt";"frauen";"maenner"
"1";"1995";"12,4";"12,2";"12,6"
"3";"1996";"13,8";"13,5";"14,2"
"5";"1997";"15,6";"15,1";"16,1"
"7";"1998";"16,1";"15,2";"16,9"
"9";"1999";"15,9";"14,7";"17"
"11";"2000";"15,8";"14,5";"16,9"
"13";"2001";"15,9";"14,4";"17,3"
"15";"2002";"17";"15";"18,7"
"17";"2003";"18,1";"15,9";"20,1"
"19";"2004";"17,7";"15,6";"19,5"
"21";"2005";"19";"17,4";"20,5"
"23";"2006";"17,4";"15,9";"18,9"
"25";"2007";"15,5";"14,1";"16,7"
"27";"2008";"13,8";"12,6";"15"
"29";"2009";"14";"12,7";"15,2"
"31";"2010";"13,6";"12,3";"14,7"
"33";"2011";"13,3";"12,1";"14,3"
"35";"2012";"12,3";"11,3";"13,2"
"37";"2013";"11,7";"10,9";"12,5"